epoch,itr,loss,uncertainty,maskA,maskB,time_ms
epoch,itr,loss,uncertainty,maskA,maskB,time_ms
1,1,0.21186,0.00000,32.00000,16.00000,7400
1,17,0.17388,0.00000,36.00000,28.00000,99
1,33,0.16139,0.00000,27.00000,37.00000,88
1,49,0.15356,0.00000,32.00000,32.00000,94
1,65,0.14790,0.00000,37.00000,27.00000,102
1,81,0.14305,0.00000,30.00000,17.00000,88
1,97,0.13862,0.00000,26.00000,38.00000,87
1,113,0.13459,0.00000,38.00000,26.00000,103
1,129,0.13072,0.00000,27.00000,37.00000,88
1,145,0.12702,0.00000,26.00000,38.00000,87
1,161,0.12344,0.00000,33.00000,15.00000,92
1,177,0.11999,0.00000,31.00000,33.00000,93
1,193,0.11668,0.00000,27.00000,37.00000,88
1,209,0.11358,0.00000,33.00000,31.00000,96
1,225,0.11057,0.00000,35.00000,29.00000,98
1,241,0.10769,0.00000,36.00000,14.00000,96
1,257,0.10498,0.00000,29.00000,35.00000,91
1,273,0.10242,0.00000,33.00000,31.00000,96
1,289,0.09997,0.00000,30.00000,34.00000,92
1,305,0.09764,0.00000,29.00000,35.00000,91
1,321,0.09538,0.00000,27.00000,18.00000,83
1,337,0.09324,0.00000,28.00000,36.00000,91
1,353,0.09118,0.00000,32.00000,32.00000,94
1,369,0.08925,0.00000,34.00000,30.00000,97
1,385,0.08741,0.00000,36.00000,28.00000,99
2,1,0.04289,0.00000,25.00000,19.00000,81
2,17,0.04305,0.00000,37.00000,27.00000,102
2,33,0.04289,0.00000,34.00000,30.00000,97
2,49,0.04212,0.00000,33.00000,31.00000,96
2,65,0.04151,0.00000,35.00000,29.00000,98
2,81,0.04078,0.00000,36.00000,14.00000,95
2,97,0.04029,0.00000,38.00000,26.00000,103
2,113,0.03978,0.00000,28.00000,36.00000,90
2,129,0.03929,0.00000,26.00000,38.00000,86
2,145,0.03877,0.00000,34.00000,30.00000,97
2,161,0.03827,0.00000,37.00000,13.00000,99
2,177,0.03784,0.00000,32.00000,32.00000,94
2,193,0.03746,0.00000,28.00000,36.00000,90
2,209,0.03708,0.00000,33.00000,31.00000,96
2,225,0.03672,0.00000,33.00000,31.00000,96
2,241,0.03633,0.00000,29.00000,17.00000,86
2,257,0.03597,0.00000,35.00000,29.00000,98
2,273,0.03560,0.00000,37.00000,27.00000,102
2,289,0.03530,0.00000,30.00000,34.00000,92
2,305,0.03498,0.00000,37.00000,27.00000,102
2,321,0.03468,0.00000,32.00000,16.00000,90
2,337,0.03440,0.00000,26.00000,38.00000,86
2,353,0.03412,0.00000,34.00000,30.00000,97
2,369,0.03386,0.00000,29.00000,35.00000,91
2,385,0.03365,0.00000,33.00000,31.00000,96
3,1,0.02701,0.00000,31.00000,16.00000,89
3,17,0.02705,0.00000,37.00000,27.00000,102
3,33,0.02717,0.00000,34.00000,30.00000,98
3,49,0.02739,0.00000,31.00000,33.00000,92
3,65,0.02730,0.00000,31.00000,33.00000,92
3,81,0.02708,0.00000,30.00000,17.00000,88
3,97,0.02694,0.00000,27.00000,37.00000,87
3,113,0.02683,0.00000,27.00000,37.00000,87
3,129,0.02671,0.00000,35.00000,29.00000,98
3,145,0.02650,0.00000,26.00000,38.00000,87
3,161,0.02635,0.00000,35.00000,14.00000,95
3,177,0.02622,0.00000,29.00000,35.00000,91
3,193,0.02606,0.00000,34.00000,30.00000,98
3,209,0.02592,0.00000,28.00000,36.00000,90
3,225,0.02577,0.00000,25.00000,39.00000,86
