epoch,itr,loss,maskA,maskB,time_ms
1,0,0.45204,32.00000,32.00000,993
1,1,0.40376,38.00000,26.00000,772
1,2,0.37362,28.00000,36.00000,678
1,3,0.35098,30.00000,34.00000,694
1,4,0.33152,31.00000,33.00000,738
1,5,0.31441,31.00000,33.00000,740
1,6,0.29874,27.00000,37.00000,694
1,7,0.28476,31.00000,33.00000,744
1,8,0.27161,30.00000,34.00000,699
1,9,0.25995,30.00000,34.00000,847
1,10,0.24979,32.00000,32.00000,1109
1,11,0.24018,36.00000,28.00000,1118
1,12,0.23155,32.00000,32.00000,1117
1,13,0.22362,37.00000,27.00000,1149
1,14,0.21641,31.00000,33.00000,1086
1,15,0.20944,34.00000,30.00000,743
1,16,0.20298,36.00000,28.00000,754
1,17,0.19685,32.00000,32.00000,780
1,18,0.19112,32.00000,32.00000,884
1,19,0.18583,26.00000,38.00000,1001
1,20,0.18102,31.00000,33.00000,1110
1,21,0.17638,32.00000,32.00000,1125
1,22,0.17180,33.00000,31.00000,1133
1,23,0.16772,32.00000,32.00000,1126
1,24,0.16384,28.00000,36.00000,722
1,25,0.16003,28.00000,36.00000,713
1,26,0.15645,27.00000,37.00000,726
1,27,0.15294,25.00000,39.00000,682
1,28,0.14956,30.00000,34.00000,1043
1,29,0.14657,36.00000,28.00000,1154
1,30,0.14353,26.00000,38.00000,1034
1,31,0.14060,35.00000,29.00000,1158
1,32,0.13777,27.00000,37.00000,1057
1,33,0.13513,30.00000,34.00000,1077
1,34,0.13262,27.00000,37.00000,1057
1,35,0.13019,35.00000,29.00000,1154
1,36,0.12772,32.00000,32.00000,1138
1,37,0.12543,28.00000,36.00000,1050
1,38,0.12315,31.00000,33.00000,1127
1,39,0.12110,38.00000,26.00000,1205
1,40,0.11918,33.00000,31.00000,1144
1,41,0.11730,35.00000,29.00000,1151
1,42,0.11548,27.00000,37.00000,1051
1,43,0.11364,32.00000,32.00000,1139
1,44,0.11183,29.00000,35.00000,1090
1,45,0.11014,36.00000,28.00000,1148
1,46,0.10853,29.00000,35.00000,1093
1,47,0.10694,37.00000,27.00000,1181
1,48,0.10535,32.00000,32.00000,1139
1,49,0.10381,37.00000,27.00000,1179
1,50,0.10240,30.00000,34.00000,1075
1,51,0.10106,25.00000,39.00000,1002
1,52,0.09973,29.00000,35.00000,1097
1,53,0.09841,28.00000,36.00000,1059
1,54,0.09719,31.00000,33.00000,3665
1,55,0.09594,27.00000,37.00000,1049
1,56,0.09473,26.00000,38.00000,1016
1,57,0.09354,33.00000,31.00000,1152
1,58,0.09242,32.00000,32.00000,1141
1,59,0.09133,31.00000,33.00000,1132
1,60,0.09027,38.00000,26.00000,1212
1,61,0.08923,37.00000,27.00000,1184
1,62,0.08826,30.00000,34.00000,3162
1,63,0.08730,28.00000,36.00000,1489
1,64,0.08637,37.00000,27.00000,1197
1,65,0.08546,25.00000,39.00000,1002
1,66,0.08457,32.00000,32.00000,1148
1,67,0.08371,28.00000,36.00000,1059
1,68,0.08283,33.00000,31.00000,3678
1,69,0.08199,27.00000,37.00000,1057
1,70,0.08120,32.00000,32.00000,1142
1,71,0.08043,31.00000,33.00000,1133
1,72,0.07965,34.00000,30.00000,1153
1,73,0.07892,31.00000,33.00000,1523
1,74,0.07820,28.00000,36.00000,3182
1,75,0.07750,30.00000,34.00000,1069
1,76,0.07677,31.00000,33.00000,1128
1,77,0.07607,34.00000,30.00000,1162
1,78,0.07538,34.00000,30.00000,1159
1,79,0.07470,36.00000,28.00000,3688
1,80,0.07407,30.00000,34.00000,1068
1,81,0.07346,25.00000,39.00000,997
1,82,0.07286,32.00000,32.00000,1142
1,83,0.07228,28.00000,36.00000,1056
1,84,0.07170,28.00000,36.00000,1057
1,85,0.07114,27.00000,37.00000,1062
1,86,0.07059,27.00000,37.00000,1069
1,87,0.07004,38.00000,26.00000,1230
1,88,0.06952,28.00000,36.00000,3535
1,89,0.06902,26.00000,38.00000,1009
1,90,0.06852,36.00000,28.00000,1141
1,91,0.06802,32.00000,32.00000,1146
1,92,0.06749,28.00000,36.00000,1061
1,93,0.06701,35.00000,29.00000,1165
1,94,0.06655,36.00000,28.00000,1155
1,95,0.06610,31.00000,33.00000,1137
1,96,0.06568,26.00000,38.00000,3548
1,97,0.06524,35.00000,29.00000,1151
1,98,0.06483,32.00000,32.00000,1141
1,99,0.06440,37.00000,27.00000,1176
1,100,0.06396,36.00000,28.00000,1151
1,101,0.06354,35.00000,29.00000,2559
1,102,0.06313,38.00000,26.00000,2355
1,103,0.06274,30.00000,34.00000,1083
1,104,0.06237,27.00000,37.00000,1065
1,105,0.06199,32.00000,32.00000,1147
1,106,0.06160,35.00000,29.00000,1162
1,107,0.06126,30.00000,34.00000,3601
1,108,0.06091,28.00000,36.00000,1055
1,109,0.06057,31.00000,33.00000,1130
1,110,0.06023,29.00000,35.00000,1095
1,111,0.05989,29.00000,35.00000,1097
1,112,0.05954,38.00000,26.00000,1629
1,113,0.05921,37.00000,27.00000,3286
1,114,0.05888,27.00000,37.00000,1049
1,115,0.05857,35.00000,29.00000,1169
1,116,0.05825,37.00000,27.00000,1192
1,117,0.05794,31.00000,33.00000,1140
1,118,0.05762,34.00000,30.00000,3679
1,119,0.05732,37.00000,27.00000,1177
1,120,0.05701,31.00000,33.00000,1130
1,121,0.05670,31.00000,33.00000,1131
1,122,0.05641,35.00000,29.00000,1159
1,123,0.05612,34.00000,30.00000,2300
1,124,0.05583,36.00000,28.00000,2511
1,125,0.05554,29.00000,35.00000,1110
1,126,0.05525,26.00000,38.00000,1019
1,127,0.05497,37.00000,27.00000,1197
1,128,0.05470,27.00000,37.00000,1063
1,129,0.05442,37.00000,27.00000,3725
1,130,0.05416,35.00000,29.00000,1155
1,131,0.05389,32.00000,32.00000,1142
1,132,0.05362,26.00000,38.00000,1015
1,133,0.05336,33.00000,31.00000,1153
1,134,0.05309,29.00000,35.00000,1101
1,135,0.05283,34.00000,30.00000,3647
1,136,0.05257,35.00000,29.00000,1155
1,137,0.05231,30.00000,34.00000,1078
1,138,0.05207,27.00000,37.00000,1066
1,139,0.05182,29.00000,35.00000,1109
1,140,0.05158,32.00000,32.00000,3466
1,141,0.05134,27.00000,37.00000,1274
1,142,0.05110,26.00000,38.00000,1016
1,143,0.05087,27.00000,37.00000,1062
1,144,0.05064,26.00000,38.00000,1021
1,145,0.05040,32.00000,32.00000,1153
1,146,0.05017,31.00000,33.00000,3670
1,147,0.04996,27.00000,37.00000,1059
1,148,0.04975,34.00000,30.00000,1156
1,149,0.04953,30.00000,34.00000,3617
1,150,0.04932,30.00000,34.00000,1073
1,151,0.04910,37.00000,27.00000,1186
1,152,0.04890,27.00000,37.00000,3593
1,153,0.04869,28.00000,36.00000,1052
1,154,0.04850,25.00000,39.00000,996
1,155,0.04832,25.00000,39.00000,999
1,156,0.04811,34.00000,30.00000,1169
1,157,0.04791,36.00000,28.00000,1159
1,158,0.04772,30.00000,34.00000,3599
1,159,0.04752,26.00000,38.00000,1017
1,160,0.04733,33.00000,31.00000,1150
1,161,0.04714,28.00000,36.00000,1060
1,162,0.04696,36.00000,28.00000,1155
1,163,0.04677,33.00000,31.00000,1160
1,164,0.04659,33.00000,31.00000,1160
1,165,0.04641,31.00000,33.00000,1141
1,166,0.04623,35.00000,29.00000,3710
1,167,0.04605,25.00000,39.00000,995
1,168,0.04587,37.00000,27.00000,1189
